Date,Cumulative number of confirmed Ebola cases
8/29/2014 Total,1754
9/5/2014 Total,2383
9/8/2014 Total,2552
9/12/2014 Total,2639
9/16/2014 Total,3017
9/18/2014 Total,3095
9/22/2014 Total,3341
9/24/2014 Total,3487
9/26/2014 Total,3626
10/1/2014 Total,3973
10/3/2014 Total,4108
10/8/2014 Total,4461
10/10/2014 Total,4655
10/15/2014 Total,5006
10/17/2014 Total,4218
10/22/2014 Total,5501
10/25/2014 Total,5692
10/29/2014 Total,7632
10/31/2014 Total,7728
11/5/2014 Total,7991
11/7/2014 Total,8168
11/12/2014 Total,8715
11/14/2014 Total,8920
11/19/2014 Total,9427
11/21/2014 Total,9596
11/26/2014 Total,10050
12/1/2014 Total,10585
12/3/2014 Total,10740
12/10/2014 Total,11288
12/15/2014 Total,11731
12/17/2014 Total,11807
12/22/2014 Total,12351
12/23/2014 Total,12418
12/24/2014 Total,12418
12/26/2014 Total,12619
12/29/2014 Total,12850
12/30/2014 Total,12891
12/31/2014 Total,12893
1/2/2015 Total,13054
1/5/2015 Total,13184
1/6/2015 Total,13224
1/7/2015 Total,13224
1/8/2015 Total,13362
1/9/2015 Total,13383
1/12/2015 Total,13405
1/13/2015 Total,13405
1/14/2015 Total,13460
1/15/2015 Total,13484
1/16/2015 Total,13510
1/19/2015 Total,13586
1/20/2015 Total,13610
1/21/2015 Total,13610
1/22/2015 Total,13620
1/23/2015 Total,13635
1/26/2015 Total,13691
1/27/2015 Total,13708
1/28/2015 Total,13708
1/29/2015 Total,13719
1/30/2015 Total,13735
2/2/2015 Total,13806
2/3/2015 Total,13843
2/4/2015 Total,13843
2/5/2015 Total,13860
2/6/2015 Total,13888
2/10/2015 Total,13988
2/11/2015 Total,13988
2/12/2015 Total,14002
2/13/2015 Total,14028
2/16/2015 Total,14101
2/17/2015 Total,14121
2/18/2015 Total,14121
2/19/2015 Total,14140
2/20/2015 Total,14142
2/23/2015 Total,14167
2/25/2015 Total,14237
2/26/2015 Total,14275
2/27/2015 Total,14296
3/2/2015 Total,14347
3/4/2015 Total,14347
3/5/2015 Total,14399
3/6/2015 Total,14412
3/10/2015 Total,14482
3/11/2015 Total,14482
3/12/2015 Total,14547
3/13/2015 Total,14563
3/16/2015 Total,14624
3/17/2015 Total,14636
3/18/2015 Total,14636
3/20/2015 Total,14679
3/23/2015 Total,14709
3/24/2015 Total,14715
3/25/2015 Total,14715
3/26/2015 Total,14745
3/27/2015 Total,14758
4/7/2015 Total,14828
4/9/2015 Total,14835
4/13/2015 Total,14856
4/14/2015 Total,14864
4/15/2015 Total,14864
4/16/2015 Total,14874
4/17/2015 Total,14879
4/20/2015 Total,14889
4/21/2015 Total,14893
4/22/2015 Total,14895
4/23/2015 Total,14909
4/24/2015 Total,14913
4/27/2015 Total,14923
4/28/2015 Total,14928
4/30/2015 Total,14931
5/1/2015 Total,14935
5/4/2015 Total,14939
5/5/2015 Total,14946
5/6/2015 Total,14946
5/7/2015 Total,14951
5/8/2015 Total,14951
5/11/2015 Total,14954
5/12/2015 Total,14955
5/13/2015 Total,14954
5/14/2015 Total,14969
5/15/2015 Total,14972
5/18/2015 Total,14983
5/19/2015 Total,14991
5/20/2015 Total,14991
5/21/2015 Total,14996
5/22/2015 Total,14998
5/25/2015 Total,15001
5/26/2015 Total,15003
5/27/2015 Total,15003
5/28/2015 Total,15010
5/29/2015 Total,15015
6/1/2015 Total,15023
6/2/2015 Total,15028
6/3/2015 Total,15028
6/4/2015 Total,15035
6/5/2015 Total,15037
6/8/2015 Total,15052
6/9/2015 Total,15059
6/10/2015 Total,15059
6/11/2015 Total,15066
6/12/2015 Total,15075
6/15/2015 Total,15083
6/16/2015 Total,15083
6/17/2015 Total,15079
6/18/2015 Total,15082
6/19/2015 Total,15086
6/22/2015 Total,15096
6/23/2015 Total,15099
6/24/2015 Total,15099
6/25/2015 Total,15109
6/26/2015 Total,15113
6/29/2015 Total,15117
6/30/2015 Total,15119
7/1/2015 Total,15119
7/2/2015 Total,15130
7/3/2015 Total,15138
7/6/2015 Total,15148
7/7/2015 Total,15149
7/8/2015 Total,15149
7/9/2015 Total,15155
7/10/2015 Total,15159
7/13/2015 Total,15176
7/14/2015 Total,15179
7/15/2015 Total,15179
7/16/2015 Total,15183
7/17/2015 Total,15189
7/20/2015 Total,15205
7/21/2015 Total,15205
7/22/2015 Total,15205
7/23/2015 Total,15209
7/24/2015 Total,15209
7/27/2015 Total,15210
7/28/2015 Total,15211
7/29/2015 Total,15211
7/30/2015 Total,15211
7/31/2015 Total,15211
8/3/2015 Total,15213
8/4/2015 Total,15213
8/5/2015 Total,15213
8/6/2015 Total,15216
8/7/2015 Total,15216
8/10/2015 Total,15217
8/11/2015 Total,15217
8/12/2015 Total,15217
8/13/2015 Total,15218
8/14/2015 Total,15218
8/17/2015 Total,15220
8/18/2015 Total,15220
8/19/2015 Total,15220
8/20/2015 Total,15222
8/21/2015 Total,15222
8/24/2015 Total,15222
8/25/2015 Total,15223
8/26/2015 Total,15223
8/27/2015 Total,15224
8/28/2015 Total,15224
8/31/2015 Total,15226
9/1/2015 Total,15226
9/2/2015 Total,15226
9/3/2015 Total,15227
9/4/2015 Total,15227
9/7/2015 Total,15228
9/8/2015 Total,15228
9/9/2015 Total,15228
9/10/2015 Total,15231
9/11/2015 Total,15232
9/14/2015 Total,15232
9/15/2015 Total,15233
9/16/2015 Total,15233
9/17/2015 Total,15233
9/18/2015 Total,15234
9/21/2015 Total,15235
9/22/2015 Total,15235
9/23/2015 Total,15235
9/24/2015 Total,15235
9/25/2015 Total,15235
9/28/2015 Total,15237
9/29/2015 Total,15239
9/30/2015 Total,15239
10/1/2015 Total,15239
10/2/2015 Total,15239
10/5/2015 Total,15239
10/6/2015 Total,15239
10/7/2015 Total,15239
10/8/2015 Total,15239
10/9/2015 Total,15239
10/13/2015 Total,15239
10/15/2015 Total,15240
10/16/2015 Total,15241
10/20/2015 Total,15242
10/22/2015 Total,15242
10/23/2015 Total,15242
10/26/2015 Total,15245
10/27/2015 Total,15245
10/29/2015 Total,15245
10/30/2015 Total,15245
11/3/2015 Total,15246
11/5/2015 Total,15246
11/6/2015 Total,15246
11/10/2015 Total,15246
11/11/2015 Total,15246
11/12/2015 Total,15246
11/16/2015 Total,15246
11/17/2015 Total,15246
11/20/2015 Total,15246
11/24/2015 Total,15246
11/26/2015 Total,15249
12/1/2015 Total,15249
12/2/2015 Total,15249
12/3/2015 Total,15249
12/9/2015 Total,15249
12/10/2015 Total,15249
12/11/2015 Total,15249
12/15/2015 Total,15249
12/16/2015 Total,15249
12/17/2015 Total,15249
12/22/2015 Total,15249
12/23/2015 Total,15249
12/29/2015 Total,15249
3/23/2016 Total,15251