Date,cumulative cases,cumulative death,newly confirmed cases,newly confirmed deaths
"18 May,2009",8829,74,349,2
"25 May,2009",12514,91,493,5
"1 June,2009",17398,115,1897,16
"8 June,2009",25272,139,3348,14
"15 June,2009",35891,163,6258,18
"22 June,2009",52099,231,7872,51
"29 June,2009",70832,311,11079,48
"6 July,2009",94451,429,4591,47
"27 July,2009",134503,816,,
"4 August,2009",162380,1154,,
"12 August,2009",550156,3104,,
"21 August,2009",182166,1799,,
"28 August,2009",209437,2185,,
"4 September,2009",254306,2837,,
"11 Septmber,2009",277507,3205,,
"18 Septmber,2009",296471,3486,,
"25 Septmber,2009",318925,3917,,
"2 October,2009",343298,4108,,
"9 October,2009",378223,4525,,
"16 October,2009",399232,4735,,
"23 October,2009",414945,4999,,
"6 November,2009",482300,6071,,
"13 November,2009",503536,6260,,
"20 November,2009",526060,6770,,
"27 November,2009",622482,7826,,
"4 December,2009",,8768,,
"11 December,2009",,9596,,
"18 December,2009",,10582,,
"23 December,2009",,11516,,
"30 December,2009",,12220,,
"8 January,2010",,12799,,
"15 January,2010",,13554,,
"22 January,2010",,14142,,
"29 January,2010",,14711,,
"5 February,2010",,15174,,
"12 February,2010",,15292,,
"19 February,2010",,15921,,
"26 February,2010",,16226,,
"5 March,2010",,16455,,
"12 March,2010",,16713,,
"19 March,2010",,16813,,
"26 March,2010",,16931,,
"1 April,2010",,17483,,
"9 April,2010",,17700,,
"16 April,2010",,17798,,
"23 April,2010",,17853,,
"30 April,2010",,17919,,
"7 May,2010",,18001,,
"14 May,2010",,18036,,
"21 May,2010",,18097,,
"28 May,2010",,18114,,
"4 June,2010",,18137,,
"11 June,2010",,18156,,
"18 June,2010",,18172,,
"25 June,2010",,18209,,
"2 July,2010",,18239,,
"9 July,2010",,18311,,
"16 July,2010",,18337,,
"23 July,2010",,18366,,
"30 July,2010",,18398,,
"6 August,2010",,18449,,