Date,Cumulative number of cases ,Number of new cases since last WHO update ,Number of deaths,Number recovered
28-Mar-03,1485,,53,
4-Apr-03,2353,,84,
11-Apr-03,2890,109,116,1373
18-Apr-03,3547,86,182,1749
25-Apr-03,4649,210,274,2206
2-May-03,6054,207,417,2643
9-May-03,7183,144,514,3023
16-May-03,7739,54,611,3590
23-May-03,8117,77,689,4326
30-May-03,8317,26,754,5129
6-Jun-03,8404,8,779,5937
13-Jun-03,8454,10,792,6793
20-Jun-03,8461,0,804,7218
27-Jun-03,8450,0,810,7401
4-Jul-03,8439,0,812,7431
11-Jul-03,8437,0,813,7452
,,,,