Date,Suspected,Confirmed,Deaths
2016-dec-15 Total,532070,175063,15
2016-dec-22 Total,534620,176239,18
2016-dec-29 Total,534553,177614,18
2016-dec-8 Total,520100,174214,15
2016-nov-17 Total,516487,171553,15
2016-nov-23 Total,517868,172602,15
2016-nov-30 Total,518290,173347,15
2017-ago-10 Total,566053,217471,20
2017-ago-17 Total,566176,217666,20
2017-ago-24 Total,568181,219766,20
2017-ago-3 Total,565753,217271,20
2017-ago-31 Total,579326,220465,20
2017-apr-13 Total,556172,208242,20
2017-apr-20 Total,557709,208705,20
2017-apr-27 Total,559721,209628,20
2017-apr-6 Total,554479,207557,20
2017-feb-16 Total,548207,203718,20
2017-feb-2 Total,543460,201821,20
2017-feb-23 Total,549111,204186,20
2017-feb-9 Total,544976,202412,20
2017-jan-05 Total,536339,178297,18
2017-jan-12 Total,539791,197271,18
2017-jan-18 Total,540176,198607,18
2017-jan-27 Total,541361,198810,18
2017-jul-13 Total,570254,214783,20
2017-jul-20 Total,570682,214944,20
2017-jul-27 Total,565114,216800,20
2017-jul-6 Total,568059,213826,20
2017-jun-1 Total,565692,212298,20
2017-jun-15 Total,566135,213081,20
2017-jun-29 Total,567767,213706,20
2017-jun-8 Total,565749,212770,20
2017-June-2 Total,567605,213686,20
2017-mar-16 Total,550721,205942,20
2017-mar-2 Total,548690,205013,20
2017-mar-23 Total,551432,206351,20
2017-mar-30 Total,551615,206458,20
2017-mar-9 Total,548960,205500,20
2017-may-11 Total,563168,211500,20
2017-may-18 Total,563629,211520,20
2017-may-25 Total,563960,211695,20
2017-may-4 Total,559790,209726,20
2017-nov-2 Total,581685,222986,20
2017-oct-12 Total,581414,221668,20
2017-oct-19 Total,581557,221874,20
2017-oct-26 Total,581602,222106,20
2017-oct-5 Total,581262,221520,20
2017-sep-14 Total,580349,220842,20
2017-sep-21 Total,580496,221093,20
2017-sep-28 Total,580742,221341,20
2017-sep-7 Total,579700,220693,20
,,,
,,,
,,,
,,,